Category,Cargo,Figures,Month
Exports / Million Tons,General Cargo,0.608,9/1/2022
Exports / Million Tons,Total Dry Cargo,0.928,9/1/2022
Exports / Million Tons,Total Liquid Cargo,0.051,9/1/2022
Exports / Million Tons,Total Cargo,0.98,9/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.879,9/1/2022
Total Imports & Exports / Million Tons,General Cargo,1.712,9/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,2.591,9/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.768,9/1/2022
Total Imports & Exports / Million Tons,Total Cargo,3.359,9/1/2022
Total TEU(s) in Millions,Imports,0.065,9/1/2022
Total TEU(s) in Millions,Exports,0.076,9/1/2022
Imports / Million Tons,Bulk Cargo,0.156,10/1/2022
Imports / Million Tons,General Cargo,1.214,10/1/2022
Imports / Million Tons,Total Dry Cargo,1.37,10/1/2022
Imports / Million Tons,Total Liquid Cargo,0.883,10/1/2022
Imports / Million Tons,Total Cargo,2.253,10/1/2022
Exports / Million Tons,Bulk Cargo,0.158,10/1/2022
Exports / Million Tons,General Cargo,0.71,10/1/2022
Exports / Million Tons,Total Dry Cargo,0.868,10/1/2022
Exports / Million Tons,Total Liquid Cargo,0.097,10/1/2022
Exports / Million Tons,Total Cargo,0.966,10/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.314,10/1/2022
Total Imports & Exports / Million Tons,General Cargo,1.924,10/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,2.238,10/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.981,10/1/2022
Total Imports & Exports / Million Tons,Total Cargo,3.218,10/1/2022
Total TEU(s) in Millions,Imports,0.072,10/1/2022
Total TEU(s) in Millions,Exports,0.077,10/1/2022
Imports / Million Tons,Bulk Cargo,0.381,11/1/2022
Imports / Million Tons,General Cargo,1.394,11/1/2022
Imports / Million Tons,Total Dry Cargo,1.775,11/1/2022
Imports / Million Tons,Total Liquid Cargo,0.867,11/1/2022
Imports / Million Tons,Total Cargo,2.641,11/1/2022
Exports / Million Tons,Bulk Cargo,0.112,11/1/2022
Exports / Million Tons,General Cargo,0.713,11/1/2022
Exports / Million Tons,Total Dry Cargo,0.825,11/1/2022
Exports / Million Tons,Total Liquid Cargo,0.078,11/1/2022
Exports / Million Tons,Total Cargo,0.903,11/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.492,11/1/2022
Total Imports & Exports / Million Tons,General Cargo,2.107,11/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,2.6,11/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.945,11/1/2022
Total Imports & Exports / Million Tons,Total Cargo,3.545,11/1/2022
Total TEU(s) in Millions,Imports,0.089,11/1/2022
Total TEU(s) in Millions,Exports,0.079,11/1/2022
Imports / Million Tons,Bulk Cargo,0.165,12/1/2022
Imports / Million Tons,General Cargo,1.618,12/1/2022
Imports / Million Tons,Total Dry Cargo,1.784,12/1/2022
Imports / Million Tons,Total Liquid Cargo,0.966,12/1/2022
Imports / Million Tons,Total Cargo,2.749,12/1/2022
Exports / Million Tons,General Cargo,0.783,12/1/2022
Exports / Million Tons,Total Dry Cargo,0.783,12/1/2022
Exports / Million Tons,Total Liquid Cargo,0.058,12/1/2022
Exports / Million Tons,Total Cargo,0.841,12/1/2022
Total Imports & Exports / Million Tons,Bulk Cargo,0.165,12/1/2022
Total Imports & Exports / Million Tons,General Cargo,2.402,12/1/2022
Total Imports & Exports / Million Tons,Total Dry Cargo,2.567,12/1/2022
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.023,12/1/2022
Total Imports & Exports / Million Tons,Total Cargo,3.59,12/1/2022
Total TEU(s) in Millions,Imports,0.1,12/1/2022
Total TEU(s) in Millions,Exports,0.09,12/1/2022
Imports / Million Tons,Bulk Cargo,0.481,1/1/2023
Imports / Million Tons,General Cargo,1.577,1/1/2023
Imports / Million Tons,Total Dry Cargo,2.058,1/1/2023
Imports / Million Tons,Total Liquid Cargo,0.802,1/1/2023
Imports / Million Tons,Total Cargo,2.86,1/1/2023
Exports / Million Tons,Bulk Cargo,0.276,1/1/2023
Exports / Million Tons,General Cargo,0.737,1/1/2023
Exports / Million Tons,Total Dry Cargo,1.012,1/1/2023
Exports / Million Tons,Total Liquid Cargo,0.084,1/1/2023
Exports / Million Tons,Total Cargo,1.096,1/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.756,1/1/2023
Total Imports & Exports / Million Tons,General Cargo,2.314,1/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,3.07,1/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.885,1/1/2023
Total Imports & Exports / Million Tons,Total Cargo,3.956,1/1/2023
Total TEU(s) in Millions,Imports,0.09,1/1/2023
Total TEU(s) in Millions,Exports,0.086,1/1/2023
Imports / Million Tons,Bulk Cargo,0.347,2/1/2023
Imports / Million Tons,General Cargo,1.08,2/1/2023
Imports / Million Tons,Total Dry Cargo,1.427,2/1/2023
Imports / Million Tons,Total Liquid Cargo,0.851,2/1/2023
Imports / Million Tons,Total Cargo,2.278,2/1/2023
Exports / Million Tons,Bulk Cargo,0.355,2/1/2023
Exports / Million Tons,General Cargo,0.806,2/1/2023
Exports / Million Tons,Total Dry Cargo,1.161,2/1/2023
Exports / Million Tons,Total Liquid Cargo,0.083,2/1/2023
Exports / Million Tons,Total Cargo,1.244,2/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.702,2/1/2023
Total Imports & Exports / Million Tons,General Cargo,1.886,2/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,2.588,2/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.934,2/1/2023
Total Imports & Exports / Million Tons,Total Cargo,3.522,2/1/2023
Total TEU(s) in Millions,Imports,0.065,2/1/2023
Total TEU(s) in Millions,Exports,0.082,2/1/2023
Imports / Million Tons,Bulk Cargo,0.188,3/1/2023
Imports / Million Tons,General Cargo,0.976,3/1/2023
Imports / Million Tons,Total Dry Cargo,1.163,3/1/2023
Imports / Million Tons,Total Liquid Cargo,0.894,3/1/2023
Imports / Million Tons,Total Cargo,2.057,3/1/2023
Exports / Million Tons,Bulk Cargo,0.313,3/1/2023
Exports / Million Tons,General Cargo,0.877,3/1/2023
Exports / Million Tons,Total Dry Cargo,1.19,3/1/2023
Exports / Million Tons,Total Liquid Cargo,0.144,3/1/2023
Exports / Million Tons,Total Cargo,1.333,3/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.501,3/1/2023
Total Imports & Exports / Million Tons,General Cargo,1.852,3/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,2.353,3/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.037,3/1/2023
Total Imports & Exports / Million Tons,Total Cargo,3.39,3/1/2023
Total TEU(s) in Millions,Imports,0.063,3/1/2023
Total TEU(s) in Millions,Exports,0.077,3/1/2023
Imports / Million Tons,Bulk Cargo,0.076,4/1/2023
Imports / Million Tons,General Cargo,1.071,4/1/2023
Imports / Million Tons,Total Dry Cargo,1.147,4/1/2023
Imports / Million Tons,Total Liquid Cargo,0.676,4/1/2023
Imports / Million Tons,Total Cargo,1.823,4/1/2023
Exports / Million Tons,Bulk Cargo,0.184,4/1/2023
Exports / Million Tons,General Cargo,0.808,4/1/2023
Exports / Million Tons,Total Dry Cargo,0.992,4/1/2023
Exports / Million Tons,Total Liquid Cargo,0.117,4/1/2023
Exports / Million Tons,Total Cargo,1.109,4/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.26,4/1/2023
Total Imports & Exports / Million Tons,General Cargo,1.879,4/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,2.139,4/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.792,4/1/2023
Total Imports & Exports / Million Tons,Total Cargo,2.932,4/1/2023
Total TEU(s) in Millions,Imports,0.071,4/1/2023
Total TEU(s) in Millions,Exports,0.07,4/1/2023
Imports / Million Tons,Bulk Cargo,0.077,5/1/2023
Imports / Million Tons,General Cargo,1.247,5/1/2023
Imports / Million Tons,Total Dry Cargo,1.325,5/1/2023
Imports / Million Tons,Total Liquid Cargo,0.85,5/1/2023
Imports / Million Tons,Total Cargo,2.175,5/1/2023
Exports / Million Tons,Bulk Cargo,0.361,5/1/2023
Exports / Million Tons,General Cargo,0.766,5/1/2023
Exports / Million Tons,Total Dry Cargo,1.127,5/1/2023
Exports / Million Tons,Total Liquid Cargo,0.094,5/1/2023
Exports / Million Tons,Total Cargo,1.221,5/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.438,5/1/2023
Total Imports & Exports / Million Tons,General Cargo,2.013,5/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,2.451,5/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.944,5/1/2023
Total Imports & Exports / Million Tons,Total Cargo,3.396,5/1/2023
Total TEU(s) in Millions,Imports,0.084,5/1/2023
Total TEU(s) in Millions,Exports,0.076,5/1/2023
Imports / Million Tons,Bulk Cargo,0.148,6/1/2023
Imports / Million Tons,General Cargo,1.406,6/1/2023
Imports / Million Tons,Total Dry Cargo,1.554,6/1/2023
Imports / Million Tons,Total Liquid Cargo,0.846,6/1/2023
Imports / Million Tons,Total Cargo,2.4,6/1/2023
Exports / Million Tons,Bulk Cargo,0.459,6/1/2023
Exports / Million Tons,General Cargo,0.787,6/1/2023
Exports / Million Tons,Total Dry Cargo,1.246,6/1/2023
Exports / Million Tons,Total Liquid Cargo,0.087,6/1/2023
Exports / Million Tons,Total Cargo,1.332,6/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.607,6/1/2023
Total Imports & Exports / Million Tons,General Cargo,2.193,6/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,2.8,6/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.933,6/1/2023
Total Imports & Exports / Million Tons,Total Cargo,3.733,6/1/2023
Total TEU(s) in Millions,Imports,0.088,6/1/2023
Total TEU(s) in Millions,Exports,0.081,6/1/2023
Imports / Million Tons,Bulk Cargo,0.157,7/1/2023
Imports / Million Tons,General Cargo,1.507,7/1/2023
Imports / Million Tons,Total Dry Cargo,1.664,7/1/2023
Imports / Million Tons,Total Liquid Cargo,0.708,7/1/2023
Imports / Million Tons,Total Cargo,2.372,7/1/2023
Exports / Million Tons,Bulk Cargo,0.253,7/1/2023
Exports / Million Tons,General Cargo,0.748,7/1/2023
Exports / Million Tons,Total Dry Cargo,1.001,7/1/2023
Exports / Million Tons,Total Liquid Cargo,0.033,7/1/2023
Exports / Million Tons,Total Cargo,1.034,7/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.41,7/1/2023
Total Imports & Exports / Million Tons,General Cargo,2.255,7/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,2.665,7/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.741,7/1/2023
Total Imports & Exports / Million Tons,Total Cargo,3.406,7/1/2023
Total TEU(s) in Millions,Imports,0.097,7/1/2023
Total TEU(s) in Millions,Exports,0.08,7/1/2023
Imports / Million Tons,Bulk Cargo,0.167,8/1/2023
Imports / Million Tons,General Cargo,1.498,8/1/2023
Imports / Million Tons,Total Dry Cargo,1.665,8/1/2023
Imports / Million Tons,Total Liquid Cargo,0.866,8/1/2023
Imports / Million Tons,Total Cargo,2.531,8/1/2023
Exports / Million Tons,Bulk Cargo,0.35,8/1/2023
Exports / Million Tons,General Cargo,1.023,8/1/2023
Exports / Million Tons,Total Dry Cargo,1.373,8/1/2023
Exports / Million Tons,Total Liquid Cargo,0.082,8/1/2023
Exports / Million Tons,Total Cargo,1.455,8/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.517,8/1/2023
Total Imports & Exports / Million Tons,General Cargo,2.522,8/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,3.038,8/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.948,8/1/2023
Total Imports & Exports / Million Tons,Total Cargo,3.986,8/1/2023
Total TEU(s) in Millions,Imports,0.093,8/1/2023
Total TEU(s) in Millions,Exports,0.094,8/1/2023
Imports / Million Tons,Bulk Cargo,0.19,9/1/2023
Imports / Million Tons,General Cargo,1.509,9/1/2023
Imports / Million Tons,Total Dry Cargo,1.699,9/1/2023
Imports / Million Tons,Total Liquid Cargo,0.878,9/1/2023
Imports / Million Tons,Total Cargo,2.577,9/1/2023
Exports / Million Tons,Bulk Cargo,0.406,9/1/2023
Exports / Million Tons,General Cargo,1.072,9/1/2023
Exports / Million Tons,Total Dry Cargo,1.478,9/1/2023
Exports / Million Tons,Total Liquid Cargo,0.042,9/1/2023
Exports / Million Tons,Total Cargo,1.52,9/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.596,9/1/2023
Total Imports & Exports / Million Tons,General Cargo,2.581,9/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,3.177,9/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.92,9/1/2023
Total Imports & Exports / Million Tons,Total Cargo,4.097,9/1/2023
Total TEU(s) in Millions,Imports,0.092,9/1/2023
Total TEU(s) in Millions,Exports,0.094,9/1/2023
Imports / Million Tons,Bulk Cargo,0.37,10/1/2023
Imports / Million Tons,General Cargo,1.564,10/1/2023
Imports / Million Tons,Total Dry Cargo,1.934,10/1/2023
Imports / Million Tons,Total Liquid Cargo,0.985,10/1/2023
Imports / Million Tons,Total Cargo,2.919,10/1/2023
Exports / Million Tons,Bulk Cargo,0.481,10/1/2023
Exports / Million Tons,General Cargo,1.255,10/1/2023
Exports / Million Tons,Total Dry Cargo,1.736,10/1/2023
Exports / Million Tons,Total Liquid Cargo,0.107,10/1/2023
Exports / Million Tons,Total Cargo,1.843,10/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.851,10/1/2023
Total Imports & Exports / Million Tons,General Cargo,2.819,10/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,3.67,10/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.092,10/1/2023
Total Imports & Exports / Million Tons,Total Cargo,4.762,10/1/2023
Total TEU(s) in Millions,Imports,0.098,10/1/2023
Total TEU(s) in Millions,Exports,0.09,10/1/2023
Imports / Million Tons,Bulk Cargo,0.626,11/1/2023
Imports / Million Tons,General Cargo,1.416,11/1/2023
Imports / Million Tons,Total Dry Cargo,2.043,11/1/2023
Imports / Million Tons,Total Liquid Cargo,0.914,11/1/2023
Imports / Million Tons,Total Cargo,2.957,11/1/2023
Exports / Million Tons,Bulk Cargo,0.258,11/1/2023
Exports / Million Tons,General Cargo,1.289,11/1/2023
Exports / Million Tons,Total Dry Cargo,1.547,11/1/2023
Exports / Million Tons,Total Liquid Cargo,0.099,11/1/2023
Exports / Million Tons,Total Cargo,1.646,11/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.885,11/1/2023
Total Imports & Exports / Million Tons,General Cargo,2.705,11/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,3.59,11/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.013,11/1/2023
Total Imports & Exports / Million Tons,Total Cargo,4.602,11/1/2023
Total TEU(s) in Millions,Imports,0.088,11/1/2023
Total TEU(s) in Millions,Exports,0.093,11/1/2023
Imports / Million Tons,Bulk Cargo,0.437,12/1/2023
Imports / Million Tons,General Cargo,1.438,12/1/2023
Imports / Million Tons,Total Dry Cargo,1.875,12/1/2023
Imports / Million Tons,Total Liquid Cargo,0.832,12/1/2023
Imports / Million Tons,Total Cargo,2.707,12/1/2023
Exports / Million Tons,Bulk Cargo,0.346,12/1/2023
Exports / Million Tons,General Cargo,1.323,12/1/2023
Exports / Million Tons,Total Dry Cargo,1.669,12/1/2023
Exports / Million Tons,Total Liquid Cargo,0.115,12/1/2023
Exports / Million Tons,Total Cargo,1.784,12/1/2023
Total Imports & Exports / Million Tons,Bulk Cargo,0.783,12/1/2023
Total Imports & Exports / Million Tons,General Cargo,2.762,12/1/2023
Total Imports & Exports / Million Tons,Total Dry Cargo,3.544,12/1/2023
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.947,12/1/2023
Total Imports & Exports / Million Tons,Total Cargo,4.491,12/1/2023
Total TEU(s) in Millions,Imports,0.097,12/1/2023
Total TEU(s) in Millions,Exports,0.096,12/1/2023
Imports / Million Tons,Bulk Cargo,0.549,1/1/2024
Imports / Million Tons,General Cargo,1.417,1/1/2024
Imports / Million Tons,Total Dry Cargo,1.967,1/1/2024
Imports / Million Tons,Total Liquid Cargo,0.761,1/1/2024
Imports / Million Tons,Total Cargo,2.727,1/1/2024
Exports / Million Tons,Bulk Cargo,0.335,1/1/2024
Exports / Million Tons,General Cargo,1.332,1/1/2024
Exports / Million Tons,Total Dry Cargo,1.667,1/1/2024
Exports / Million Tons,Total Liquid Cargo,0.135,1/1/2024
Exports / Million Tons,Total Cargo,1.802,1/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.884,1/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.749,1/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.633,1/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.895,1/1/2024
Total Imports & Exports / Million Tons,Total Cargo,4.529,1/1/2024
Total TEU(s) in Millions,Imports,0.103,1/1/2024
Total TEU(s) in Millions,Exports,0.096,1/1/2024
Imports / Million Tons,Bulk Cargo,0.782,2/1/2024
Imports / Million Tons,General Cargo,1.397,2/1/2024
Imports / Million Tons,Total Dry Cargo,2.179,2/1/2024
Imports / Million Tons,Total Liquid Cargo,0.754,2/1/2024
Imports / Million Tons,Total Cargo,2.933,2/1/2024
Exports / Million Tons,Bulk Cargo,0.17,2/1/2024
Exports / Million Tons,General Cargo,1.051,2/1/2024
Exports / Million Tons,Total Dry Cargo,1.22,2/1/2024
Exports / Million Tons,Total Liquid Cargo,0.088,2/1/2024
Exports / Million Tons,Total Cargo,1.308,2/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.952,2/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.447,2/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.399,2/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.842,2/1/2024
Total Imports & Exports / Million Tons,Total Cargo,4.241,2/1/2024
Total TEU(s) in Millions,Imports,0.088,2/1/2024
Total TEU(s) in Millions,Exports,0.081,2/1/2024
Imports / Million Tons,Bulk Cargo,0.627,3/1/2024
Imports / Million Tons,General Cargo,1.565,3/1/2024
Imports / Million Tons,Total Dry Cargo,2.192,3/1/2024
Imports / Million Tons,Total Liquid Cargo,0.869,3/1/2024
Imports / Million Tons,Total Cargo,3.06,3/1/2024
Exports / Million Tons,Bulk Cargo,0.367,3/1/2024
Exports / Million Tons,General Cargo,1.164,3/1/2024
Exports / Million Tons,Total Dry Cargo,1.53,3/1/2024
Exports / Million Tons,Total Liquid Cargo,0.095,3/1/2024
Exports / Million Tons,Total Cargo,1.626,3/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.993,3/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.729,3/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.722,3/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.964,3/1/2024
Total Imports & Exports / Million Tons,Total Cargo,4.686,3/1/2024
Total TEU(s) in Millions,Imports,0.098,3/1/2024
Total TEU(s) in Millions,Exports,0.09,3/1/2024
Imports / Million Tons,Bulk Cargo,0.234,4/1/2024
Imports / Million Tons,General Cargo,1.588,4/1/2024
Imports / Million Tons,Total Dry Cargo,1.822,4/1/2024
Imports / Million Tons,Total Liquid Cargo,0.922,4/1/2024
Imports / Million Tons,Total Cargo,2.743,4/1/2024
Exports / Million Tons,Bulk Cargo,0.221,4/1/2024
Exports / Million Tons,General Cargo,0.979,4/1/2024
Exports / Million Tons,Total Dry Cargo,1.199,4/1/2024
Exports / Million Tons,Total Liquid Cargo,0.107,4/1/2024
Exports / Million Tons,Total Cargo,1.306,4/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.454,4/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.567,4/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.021,4/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.028,4/1/2024
Total Imports & Exports / Million Tons,Total Cargo,4.049,4/1/2024
Total TEU(s) in Millions,Imports,0.1,4/1/2024
Total TEU(s) in Millions,Exports,0.089,4/1/2024
Imports / Million Tons,Bulk Cargo,0.023,5/1/2024
Imports / Million Tons,General Cargo,1.658,5/1/2024
Imports / Million Tons,Total Dry Cargo,1.681,5/1/2024
Imports / Million Tons,Total Liquid Cargo,0.958,5/1/2024
Imports / Million Tons,Total Cargo,2.639,5/1/2024
Exports / Million Tons,Bulk Cargo,0.697,5/1/2024
Exports / Million Tons,General Cargo,1.007,5/1/2024
Exports / Million Tons,Total Dry Cargo,1.704,5/1/2024
Exports / Million Tons,Total Liquid Cargo,0.192,5/1/2024
Exports / Million Tons,Total Cargo,1.896,5/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.72,5/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.665,5/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.385,5/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.151,5/1/2024
Total Imports & Exports / Million Tons,Total Cargo,4.535,5/1/2024
Total TEU(s) in Millions,Imports,0.104,5/1/2024
Total TEU(s) in Millions,Exports,0.103,5/1/2024
Imports / Million Tons,Bulk Cargo,0.162,6/1/2024
Imports / Million Tons,General Cargo,1.6,6/1/2024
Imports / Million Tons,Total Dry Cargo,1.762,6/1/2024
Imports / Million Tons,Total Liquid Cargo,0.827,6/1/2024
Imports / Million Tons,Total Cargo,2.589,6/1/2024
Exports / Million Tons,Bulk Cargo,0.328,6/1/2024
Exports / Million Tons,General Cargo,1.024,6/1/2024
Exports / Million Tons,Total Dry Cargo,1.351,6/1/2024
Exports / Million Tons,Total Liquid Cargo,0.099,6/1/2024
Exports / Million Tons,Total Cargo,1.45,6/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.49,6/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.624,6/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.114,6/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.926,6/1/2024
Total Imports & Exports / Million Tons,Total Cargo,4.039,6/1/2024
Total TEU(s) in Millions,Imports,0.112,6/1/2024
Total TEU(s) in Millions,Exports,0.1,6/1/2024
Imports / Million Tons,Bulk Cargo,0.093,7/1/2024
Imports / Million Tons,General Cargo,1.651,7/1/2024
Imports / Million Tons,Total Dry Cargo,1.744,7/1/2024
Imports / Million Tons,Total Liquid Cargo,0.868,7/1/2024
Imports / Million Tons,Total Cargo,2.613,7/1/2024
Exports / Million Tons,Bulk Cargo,0.382,7/1/2024
Exports / Million Tons,General Cargo,1.025,7/1/2024
Exports / Million Tons,Total Dry Cargo,1.407,7/1/2024
Exports / Million Tons,Total Liquid Cargo,0.077,7/1/2024
Exports / Million Tons,Total Cargo,1.484,7/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.475,7/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.675,7/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.151,7/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.946,7/1/2024
Total Imports & Exports / Million Tons,Total Cargo,4.097,7/1/2024
Total TEU(s) in Millions,Imports,0.1,7/1/2024
Total TEU(s) in Millions,Exports,0.102,7/1/2024
Imports / Million Tons,Bulk Cargo,0.165,8/1/2024
Imports / Million Tons,General Cargo,1.472,8/1/2024
Imports / Million Tons,Total Dry Cargo,1.637,8/1/2024
Imports / Million Tons,Total Liquid Cargo,0.928,8/1/2024
Imports / Million Tons,Total Cargo,2.565,8/1/2024
Exports / Million Tons,Bulk Cargo,0.291,8/1/2024
Exports / Million Tons,General Cargo,1.013,8/1/2024
Exports / Million Tons,Total Dry Cargo,1.304,8/1/2024
Exports / Million Tons,Total Liquid Cargo,0.075,8/1/2024
Exports / Million Tons,Total Cargo,1.379,8/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.456,8/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.485,8/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,2.94,8/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.003,8/1/2024
Total Imports & Exports / Million Tons,Total Cargo,3.944,8/1/2024
Total TEU(s) in Millions,Imports,0.105,8/1/2024
Total TEU(s) in Millions,Exports,0.102,8/1/2024
Imports / Million Tons,Bulk Cargo,0.108,9/1/2024
Imports / Million Tons,General Cargo,1.756,9/1/2024
Imports / Million Tons,Total Dry Cargo,1.864,9/1/2024
Imports / Million Tons,Total Liquid Cargo,0.969,9/1/2024
Imports / Million Tons,Total Cargo,2.833,9/1/2024
Exports / Million Tons,Bulk Cargo,0.63,9/1/2024
Exports / Million Tons,General Cargo,1.046,9/1/2024
Exports / Million Tons,Total Dry Cargo,1.676,9/1/2024
Exports / Million Tons,Total Liquid Cargo,0.113,9/1/2024
Exports / Million Tons,Total Cargo,1.789,9/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.738,9/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.802,9/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.54,9/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,1.081,9/1/2024
Total Imports & Exports / Million Tons,Total Cargo,4.622,9/1/2024
Total TEU(s) in Millions,Imports,0.115,9/1/2024
Total TEU(s) in Millions,Exports,0.108,9/1/2024
Imports / Million Tons,Bulk Cargo,0.203,10/1/2024
Imports / Million Tons,General Cargo,1.637,10/1/2024
Imports / Million Tons,Total Dry Cargo,1.84,10/1/2024
Imports / Million Tons,Total Liquid Cargo,0.675,10/1/2024
Imports / Million Tons,Total Cargo,2.515,10/1/2024
Exports / Million Tons,Bulk Cargo,0.773,10/1/2024
Exports / Million Tons,General Cargo,1.141,10/1/2024
Exports / Million Tons,Total Dry Cargo,1.914,10/1/2024
Exports / Million Tons,Total Liquid Cargo,0.103,10/1/2024
Exports / Million Tons,Total Cargo,2.017,10/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.976,10/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.779,10/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.754,10/1/2024
Total Imports & Exports / Million Tons,Total Liquid Cargo,0.778,10/1/2024
Total Imports & Exports / Million Tons,Total Cargo,4.532,10/1/2024
Total TEU(s) in Millions,Imports,0.103,10/1/2024
Total TEU(s) in Millions,Exports,0.106,10/1/2024
Imports / Million Tons,Bulk Cargo,0.063,11/1/2024
Imports / Million Tons,General Cargo,1.529,11/1/2024
Imports / Million Tons,Total Dry Cargo,1.592,11/1/2024
Imports / Million Tons,Total Liquid Cargo,0.983,11/1/2024
Imports / Million Tons,Total Cargo,2.574,11/1/2024
Exports / Million Tons,Bulk Cargo,0.725,11/1/2024
Exports / Million Tons,General Cargo,1.041,11/1/2024
Exports / Million Tons,Total Dry Cargo,1.767,11/1/2024
Exports / Million Tons,Total Liquid Cargo,0.034,11/1/2024
Exports / Million Tons,Total Cargo,1.801,11/1/2024
Total Imports & Exports / Million Tons,Bulk Cargo,0.788,11/1/2024
Total Imports & Exports / Million Tons,General Cargo,2.57,11/1/2024
Total Imports & Exports / Million Tons,Total Dry Cargo,3.359,11/1/2024
